Rating,Price (₹),RAM (GB),ROM (GB),Battery (mAh),Display Size (inches),Type
4.6,16566,8,128,5500.0,6.67,1
4.3,16999,8,128,5000.0,6.67,1
4.4,12999,8,128,6000.0,6.5,1
4.4,16393,8,128,5500.0,6.67,1
4.4,21990,8,256,5500.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.6,16999,8,128,5000.0,6.67,1
4.3,37999,12,512,6200.0,6.67,1
4.5,31999,8,256,6200.0,6.67,1
4.5,12999,6,128,5100.0,6.67,1
4.3,20999,8,128,5000.0,6.7,0
4.3,21999,8,256,5000.0,6.67,0
4.4,7999,4,64,5160.0,6.88,1
4.2,23999,8,128,5500.0,6.67,1
4.6,9199,4,128,5000.0,6.7,1
4.2,54999,12,256,4900.0,6.7,1
4.1,14999,12,256,6000.0,6.5,1
4.4,10699,6,128,5000.0,6.7,1
4.6,20999,8,256,4310.0,6.4,0
4.4,15999,8,256,5100.0,6.67,1
4.3,8199,6,128,5000.0,6.74,0
4.2,7699,4,64,5000.0,6.74,0
4.3,9999,6,128,5160.0,6.88,1
4.5,22489,8,256,6000.0,6.6,1
4.4,20999,8,128,5000.0,6.7,0
4.4,16999,6,128,6000.0,6.67,1
4.6,23999,8,128,5500.0,6.67,1
4.5,29999,8,128,5500.0,6.78,0
4.5,24999,8,128,5000.0,6.77,0
4.6,24999,8,128,5000.0,6.77,0
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.5,13940,8,128,5030.0,6.79,1
4.4,31999,8,256,5000.0,6.77,0
4.5,23999,8,128,5500.0,6.67,1
4.7,29999,8,128,5000.0,6.77,0
4.7,129999,12,256,5000.0,6.9,1
4.6,141999,12,512,5000.0,6.9,1
4.2,20999,8,128,5000.0,6.7,0
4.6,9999,4,128,5000.0,6.72,1
4.4,29999,8,128,5500.0,6.78,0
4.4,33999,12,256,5000.0,6.77,0
4.5,33999,12,256,5000.0,6.77,0
4.4,31999,8,256,5500.0,6.78,0
4.4,22999,12,256,5000.0,6.7,0
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.2,24999,8,128,5000.0,6.77,0
4.6,6999,4,128,5000.0,6.71,0
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.0,21999,8,256,5000.0,6.67,0
4.7,31999,8,256,5000.0,6.77,0
4.4,23999,8,128,5500.0,6.67,1
4.7,17999,8,128,6000.0,6.67,1
4.5,129999,12,256,5000.0,6.9,1
4.1,33999,12,256,5500.0,6.78,0
4.3,6199,3,64,5000.0,6.71,0
4.6,14350,6,128,6000.0,6.6,1
4.4,19999,12,256,5200.0,6.7,1
4.4,16462,8,128,5500.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.5,26999,8,256,5000.0,6.77,0
4.6,26999,8,256,5000.0,6.77,0
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.5,17999,8,128,6000.0,6.72,0
4.3,59890,12,256,4900.0,6.7,1
4.2,23999,8,128,5500.0,6.67,1
4.4,6790,4,64,5000.0,6.71,0
4.1,17999,8,128,6000.0,6.67,1
4.3,15999,8,256,5100.0,6.67,1
4.4,12999,8,128,6000.0,6.5,1
4.5,15484,8,128,5000.0,6.67,1
4.4,29999,8,128,5000.0,6.77,0
4.6,15999,6,128,5000.0,6.67,0
4.1,129999,12,256,5000.0,6.9,1
4.4,6199,3,64,5000.0,6.71,0
4.4,18999,8,128,5200.0,6.7,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.5,18999,8,128,5200.0,6.7,1
4.5,13999,6,128,6000.0,6.72,1
4.5,13999,6,128,6000.0,6.72,1
4.6,14999,8,128,6000.0,6.72,1
4.3,37999,12,512,6200.0,6.67,1
4.4,31999,8,256,6200.0,6.67,1
4.5,15999,6,128,5000.0,6.67,0
4.4,20999,8,128,5000.0,6.7,0
4.4,23999,8,128,5500.0,6.67,1
4.4,15200,8,128,5000.0,6.67,1
4.6,14999,8,128,5000.0,6.67,1
4.4,165999,12,1024,5000.0,6.9,1
4.3,15999,6,128,5000.0,6.67,0
4.3,9734,4,128,5160.0,6.88,1
4.3,8955,4,64,5160.0,6.88,1
4.4,14380,6,128,5000.0,6.67,1
4.4,22999,12,512,5200.0,6.7,1
4.1,13999,6,128,5000.0,6.67,1
4.4,14043,6,128,5000.0,6.67,1
4.2,18999,8,128,5200.0,6.7,1
4.5,10999,8,128,5160.0,6.88,1
4.4,12999,6,128,5100.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.5,13999,6,128,6000.0,6.72,1
4.6,14999,8,128,6000.0,6.72,1
4.3,37999,12,512,6200.0,6.67,1
4.5,31999,8,256,6200.0,6.67,1
4.5,14999,8,128,6000.0,6.72,1
4.4,70999,8,256,4000.0,6.2,1
4.6,11998,6,128,6000.0,6.72,0
4.4,23999,8,128,5500.0,6.67,1
4.3,8199,6,128,5000.0,6.74,0
4.0,13777,8,128,5030.0,6.79,1
4.3,15999,6,128,5000.0,6.67,0
4.3,14115,6,128,5000.0,6.67,1
4.1,7699,4,64,5000.0,6.74,0
4.4,34999,8,128,6000.0,6.77,1
4.4,14999,8,128,5000.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.1,23999,8,128,5500.0,6.67,1
4.4,17999,8,128,5000.0,6.67,0
4.4,17999,8,128,5000.0,6.67,0
4.6,22999,12,256,5000.0,6.7,1
4.3,37999,12,512,6200.0,6.67,1
4.4,31999,8,256,6200.0,6.67,1
4.2,20999,8,256,5000.0,6.7,1
4.4,23999,8,128,5500.0,6.67,1
4.0,22999,12,256,5000.0,6.7,1
4.3,17180,8,128,6000.0,6.6,1
4.4,16480,8,128,6000.0,6.6,1
4.2,18999,8,128,5000.0,6.7,1
4.4,8538,6,128,5000.0,6.74,0
4.2,20999,8,256,5000.0,6.7,1
4.4,17999,8,128,6000.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.4,21999,8,256,5500.0,6.67,1
4.6,20999,8,256,5000.0,6.7,1
4.3,37999,12,512,6200.0,6.67,1
4.4,31999,8,256,6200.0,6.67,1
4.0,22999,12,512,5200.0,6.7,1
4.4,22999,12,256,5000.0,6.7,0
4.4,23999,8,128,5500.0,6.67,1
4.4,22999,12,256,5000.0,6.7,1
4.4,18999,8,128,5000.0,6.7,1
4.4,20999,8,256,4310.0,6.4,0
4.6,13072,6,128,6000.0,6.72,0
4.4,16999,6,128,6000.0,6.67,1
4.0,23999,8,128,5500.0,6.67,1
4.6,8499,4,128,5000.0,6.56,0
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.2,15999,8,128,6000.0,6.67,1
4.2,23999,8,128,5500.0,6.67,1
4.0,18999,8,256,5000.0,6.78,1
4.3,19999,8,256,6000.0,6.67,1
4.5,12298,6,128,5030.0,6.79,1
4.3,23891,8,256,5500.0,6.7,0
4.3,14999,6,128,6000.0,6.67,1
4.3,14999,6,128,6000.0,6.67,1
4.7,34999,8,256,5500.0,6.78,0
4.3,6899,3,64,5000.0,6.67,0
4.4,14999,6,128,6000.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.2,19209,8,128,5500.0,6.77,1
4.3,8990,6,128,5000.0,6.6,1
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.4,14999,6,128,6000.0,6.67,1
4.4,15999,8,256,5000.0,6.67,1
4.3,23999,8,128,5500.0,6.67,1
4.6,13821,8,128,5030.0,6.79,1
4.6,15999,8,256,5000.0,6.78,1
4.2,22762,8,128,5500.0,6.7,0
4.2,10499,4,128,5160.0,6.88,1
4.2,10499,4,128,5160.0,6.88,1
4.3,12999,6,128,5000.0,6.66,1
4.1,12255,6,128,5030.0,6.79,1
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.4,24718,8,256,5500.0,6.7,0
4.6,15999,8,128,6000.0,6.67,1
4.3,37999,12,512,6200.0,6.67,1
4.2,31999,8,256,6200.0,6.67,1
4.3,14499,8,128,5000.0,6.66,1
4.3,8645,4,128,5000.0,6.56,0
4.3,6899,3,64,5000.0,6.67,0
4.4,6899,3,64,5000.0,6.67,0
4.3,23999,8,128,5500.0,6.67,1
4.4,19368,12,256,5000.0,6.67,1
4.5,27999,12,256,6550.0,6.67,1
4.3,21790,8,128,5500.0,6.7,0
4.2,7701,4,64,5000.0,6.74,0
4.3,8888,6,128,5000.0,6.74,0
4.4,7940,4,64,5000.0,6.74,0
4.4,26999,8,256,6000.0,6.77,1
4.4,15999,8,128,6000.0,6.67,1
4.7,12499,4,128,6000.0,6.72,1
4.1,10937,4,128,5000.0,6.74,1
4.4,16999,6,128,6000.0,6.67,1
4.3,23999,8,128,5500.0,6.67,1
4.2,16940,8,128,6000.0,6.6,1
4.5,8869,6,128,5000.0,6.74,0
4.5,74999,8,128,4000.0,6.2,1
4.6,7999,4,64,5500.0,6.74,0
4.3,37999,12,512,6200.0,6.67,1
4.5,31999,8,256,6200.0,6.67,1
4.6,7999,4,64,5500.0,6.74,0
4.6,23999,8,128,5500.0,6.67,1
4.6,13999,6,128,6000.0,6.72,1
4.2,18999,8,128,5000.0,6.72,1
4.4,92999,12,512,4000.0,6.2,1
4.4,15499,8,128,6000.0,6.72,1
4.3,15499,8,128,6000.0,6.72,1
4.3,26999,12,512,5000.0,6.67,1
4.4,8967,4,64,5160.0,6.88,1
4.4,21249,8,256,5500.0,6.77,1
4.4,27563,8,256,5500.0,6.74,1
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.4,27999,8,256,5500.0,6.74,1
4.6,21990,8,256,5000.0,6.72,1
4.3,37999,12,512,6200.0,6.67,1
